"","ATSc1","ATSc2","ATSc3","ATSc4","ATSc5","ATSm1","ATSm2","ATSm5","C1SP2","C2SP2","C3SP2","C1SP3","C2SP3","C3SP3","fragC","HybRatio","Kier2","khs.aasC","khs.aaaC","khs.aaN","khs.ssO","khs.sF","khs.sCl","MDEC.11","MDEC.12","MDEC.13","MDEC.14","MDEC.22","MDEC.23","MDEC.24","MDEC.33","MDEO.11","topoShape","TopoPSA","WTPT.2","WTPT.4","WTPT.5","naAromAtom","nBase","nAtomLC","nAtomP","nAtomLAC","MLogP","nRotB","apol","nHBAcc"
"17",0.485487899701457,-0.303376012961606,0.108961863977136,-0.0750055172281348,0.0234186641865027,23.8039897844677,24.0191879229508,27.3899993766422,1,8,0,1,0,0,99.07,0.0909090909090909,5.78,5,0,1,0,2,0,0,1.04397451300606,1.62648911150681,0,2.7010325821711,10.3634879062682,0,4.57611158911642,0,0.8,40.09,2.04744151941879,0,15.8799006928355,12,0,0,16,0,2.01,2,27.734,4
"18",0.464775735087668,-0.270532441630571,0.0235436171975944,0.00590365722471914,0.0047557018550253,30.2873204497721,26.1394803164712,33.8275876717803,1,8,0,3,0,0,104.07,0.166666666666667,6.40582726326743,4,0,1,0,0,1,0,1.11567907574238,1.75902153896259,0,4.19013345186868,10.7658783839326,0,4.53555540418837,0,1,40.09,2.04763683570496,2.47997024009158,16.0076744581469,12,0,1,16,0,2.12,3,31.362,5
"20",0.464144741365554,-0.271721533299406,0.0255756877315575,0.0195010513568782,-0.0366601592958734,30.2873204497721,26.1394803164712,30.3852860811751,1,8,0,3,0,0,104.07,0.166666666666667,6.40582726326743,4,0,1,0,0,1,0,1.14078712898638,1.72030651024652,0,4.16080493330087,11.1233097999357,0,4.22316474219039,0,0.833333333333333,40.09,2.04766266130183,2.47997919136703,16.00888753541,12,0,1,16,0,2.12,3,31.362,5
"21",0.343724009606983,-0.279143870316531,0.169465474830563,-0.0736892378694807,0.00947063759567338,24.7999015063824,27.8556176999005,32.3817799343574,1,12,2,1,0,0,170.05,0.0588235294117647,7.48611111111111,5,0,1,0,0,0,0,1.53489145120835,1.55976946957855,0,14.097576490016,17.0902324182066,0,4.09288954410305,0,1,40.09,2.08628147263499,0,15.9036652353828,18,0,0,22,0,2.89,3,37.18,4
"25",0.225925470200506,-0.16270016309376,0.0504087007484777,0.0191352370945838,-0.0294428420879017,22.4399212051059,25.5232538335396,29.3541634994418,2,10,3,1,0,0,156.04,0.0625,6.24567474048443,1,2,0,0,0,0,0,1.77255388221113,1.62648911150681,0,11.2844770826174,17.8281324518329,0,4.57611158911642,0,1,27.73,2.09755429300363,0,12.8487289489763,10,6,0,20,0,2.89,2,34.32,3
"28",0.406475174220866,-0.301157227844971,0.172462546067522,-0.0801145472901444,-0.0221032387300572,22.3019456454251,23.4374028114257,26.129746979063,1,7,1,2,0,0,99.06,0.166666666666667,5.78,5,0,1,0,1,0,0.125,2.25795196176523,3.40242130977719,0,2.7010325821711,10.3634879062682,0,4.57611158911642,0,0.8,40.09,2.04744151941879,0,15.8799006928355,12,0,0,16,0,2.23,2,28.937,4
"32",0.734503627430643,-0.493780812772482,0.191961522925353,-0.142503649131705,0.168001861433305,32.0805029590513,31.2651569887411,41.3117776640025,2,7,1,3,1,0,129.09,0.333333333333333,8.34714003944773,2,0,0,1,3,0,0.111111111111111,2.31777125910336,2.38647351313894,0.18490006540841,5.13428554978348,12.1743321048717,1.62335421674625,4.22316474219039,0,1,49.32,2.02416806117884,2.73039127976526,16.1304718264215,6,5,4,16,2,2.23,6,36.133,5
"33",0.628784916753532,-0.419455591966631,0.183711889905427,-0.154721455670326,0.157235244698367,43.2123442755866,49.3047192963789,49.308703314656,2,8,0,2,1,0,139.12,0.266666666666667,7.05295138888889,2,0,0,1,5,0,0.111111111111111,2.31777125910336,2.38647351313894,0,5.13428554978348,12.1743321048717,0,4.22316474219039,0,1,46.31,2.00182578848819,2.73039017401277,16.1300479820139,6,7,5,16,2,1.79,6,38.387,5
"34",0.511589372103859,-0.341645709404877,0.0582862027733025,0.0911507306265984,-0.0997616771465804,31.2873204497721,27.4715722936037,32.717649947536,2,8,0,2,0,0,109.07,0.230769230769231,7.05078125,2,0,0,1,0,1,0.125,1.98376476684591,2.58577025606882,0,4.16080493330087,11.1233097999357,0,4.22316474219039,0,1,49.32,2.04604160637001,2.75361010341716,16.0815524752272,6,5,3,16,0,2.23,4,33.122,5
"37",0.552278927686174,-0.399127452189759,0.188421283894367,-0.0556683392121273,0.011849025009747,31.3060339235104,31.600973034476,41.869582202591,2,7,1,2,3,1,184.08,0.375,7.19727891156463,2,0,0,0,3,0,0,1.36964340887274,1.81689913971462,0.111111111111111,6.13433525975685,14.8127519327561,1.61480322423079,5.34359098022515,0,0.857142857142857,40.09,2.0358468155048,0,16.1212782682535,6,5,3,16,0,2.45,5,37.091,4
"38",0.512220367941486,-0.340456579365665,0.0562550166509239,0.0775660441226948,-0.058238741156883,31.2873204497721,27.4715722936037,36.1599515381412,2,8,0,2,0,0,109.07,0.230769230769231,7.05078125,2,0,0,1,0,1,0.125,1.94629254847495,2.63555442020616,0,4.19013345186868,10.7658783839326,0,4.53555540418837,0,0.833333333333333,49.32,2.04601692228395,2.75360377390958,16.0803393979641,6,5,3,16,0,2.23,4,33.122,5
"40",0.606902749117856,-0.458657924068164,0.221853019081312,-0.0460610470354613,-0.076959137771931,28.3060339235103,27.600973034476,39.7840278712642,1,6,2,3,0,0,114.08,0.230769230769231,6.48148148148148,5,0,1,0,3,0,0.111111111111111,2.26151066656849,3.19972582641678,0.408248290463863,2.7010325821711,10.3634879062682,1.22089835482647,4.57611158911642,0,0.8,40.09,2.0241617173796,0,15.8946726539043,12,0,3,16,0,2.12,3,31.811,4
"43",0.678211239549308,-0.446552071176306,0.212128982111592,-0.176876286752797,0.100793233165232,31.0805029590513,29.9330650116085,40.3117776640024,1,7,1,4,1,0,124.09,0.285714285714286,7.70914127423823,4,0,1,0,3,0,0,1.27766055648959,1.72030651024652,0.111111111111111,5.13428554978348,12.1743321048717,1.62335421674625,4.22316474219039,0,0.857142857142857,40.09,2.02489090240557,2.44714281605616,16.0941393565129,12,0,3,16,2,2.12,5,34.373,5
"44",0.314325905502368,-0.229966456601395,0.138437424177642,-0.0711394969500017,-0.00398693828524739,30.5128514142312,27.8073883393386,31.8320963733369,2,8,0,1,2,1,156.06,0.285714285714286,5.89387755102041,2,0,0,0,0,1,0,1.2498320593095,1.85735383297475,0,4.96952376661085,13.4590611025404,0,5.77922498668425,0,0.833333333333333,40.09,2.05986294099341,0,16.0631653588913,6,5,0,16,0,2.45,3,34.08,4
"45",0.407658144859966,-0.298961738982252,0.168558789275089,-0.104821492069182,0.0539402626035468,22.3019456454251,23.4374028114257,26.808214265117,1,7,1,2,0,0,99.06,0.166666666666667,5.78,5,0,1,0,1,0,0.111111111111111,2.26151066656849,3.19972582641678,0,2.7010325821711,10.3634879062682,0,4.57611158911642,0,0.8,40.09,2.04744151941879,0,15.8799006928355,12,0,0,16,0,2.23,2,28.937,4
"46",0.31495690133669,-0.228777326705794,0.136406230137495,-0.084724469996724,0.037529319105511,30.5128514142312,27.8073883393386,35.274397963942,2,8,0,1,2,1,156.06,0.285714285714286,5.89387755102041,2,0,0,0,0,1,0,1.22621633328551,1.89312464931319,0,4.97246435095881,13.1332813277169,0,6.11565394705749,0,1,40.09,2.05983827924558,0,16.0619522816282,6,5,0,16,0,2.45,3,34.08,4
"49",0.444740784078999,-0.326052340805243,0.187403131242301,-0.0742590675896911,0.00352794802665474,42.4378752400457,48.6405353421137,49.5341439868837,2,8,0,4,0,0,139.11,0.3125,6.2475970780469,2,0,0,0,5,0,1.60356745147455,2.81663862381284,5.20488606351207,2.55577241698509,3.83851949637378,9.5952713419161,0.724270493657729,4.22316474219039,0,1,37.08,1.98659409387404,0,16.0511493758694,6,7,5,16,0,2.01,4,39.345,4
"51",0.587564720031665,-0.430303431657518,0.20775369073915,-0.0629160855014018,0.00983027084970039,31.3060339235104,30.600973034476,41.5372183362301,1,7,1,6,0,0,129.08,0.375,7.19727891156463,4,0,1,0,3,0,1.60356745147455,2.81663862381284,5.20488606351207,1.97705390239713,3.83851949637378,9.5952713419161,2.18940114103707,4.22316474219039,0,1,40.09,2.00771780286348,0,16.051573220277,12,0,3,16,0,2.45,4,37.091,4
"55",0.748545955097717,-0.511331021968169,0.112047981514084,0.103023679719885,-0.0824467626301877,31.0805029590513,30.2651569887411,40.2565899772489,2,7,1,3,0,0,124.09,0.285714285714286,7.70914127423823,2,0,0,1,3,0,0.125,1.98376476684591,2.58577025606882,0.192450089729875,4.16080493330087,11.1233097999357,1.62648911150681,4.22316474219039,0,0.857142857142857,49.32,2.02489090240558,2.75367577834397,16.0941393565129,6,5,3,16,0,2.12,5,34.373,5
"56",0.221395606942356,-0.0993075674239607,-0.00434607515960415,-0.00552607280531069,-0.00175501878594951,22.4399212051059,25.5232538335396,29.0217996330809,3,11,2,1,0,0,156.04,0.0588235294117647,6.24567474048443,1,2,0,0,0,0,0,1.65385125137964,1.62648911150681,0,11.3866134602567,17.5046660999731,0,4.57611158911642,0,1,24.72,2.09755429300363,0,12.8409896329396,10,4,0,20,0,2.89,2,34.32,3
"57",0.465048989823146,-0.392531736776978,0.274683358490641,-0.151829135955488,0.0614505288281722,31.2873204497721,27.4715722936037,36.1599515381412,1,8,0,3,0,0,109.07,0.230769230769231,7.05078125,2,0,0,1,0,1,0.125,2.03570598633054,2.63555442020616,0,4.00641726017234,10.2812292810723,0,4.53555540418837,0,0.833333333333333,49.32,2.04601692228395,2.94654737603935,16.0803393979641,6,5,3,17,2,2.23,4,33.122,5
"58",0.642827244420637,-0.437005801160198,0.10379834867668,0.0908058832453862,-0.0932130151363369,42.2123442755866,48.3047192963789,48.2535156279024,2,8,0,2,0,0,134.12,0.214285714285714,6.51878678134903,2,0,0,1,5,0,0.125,1.98376476684591,2.58577025606882,0,4.16080493330087,11.1233097999357,0,4.22316474219039,0,0.857142857142857,46.31,2.00163372081967,2.75367356683901,16.0937155121053,6,7,5,16,0,1.68,5,36.627,5
"61",0.350999407101013,-0.25995166671133,0.151675491166346,-0.0731022130883876,-0.00803003782073039,30.5128514142312,26.8073883393386,31.8320963733369,1,8,0,4,0,1,109.06,0.285714285714286,6.62993572084481,4,0,1,0,0,1,0.650697636830499,2.19051982569318,5.34245766107466,0,3.83851949637378,9.99678720498978,0,5.77922498668425,0,0.833333333333333,40.09,2.03767780937915,0,16.034787934734,12,0,2,16,0,2.45,3,34.08,4
"64",0.351447153626802,-0.259264737150945,0.14920435437051,-0.0712898671476945,-0.00858764542954388,29.5128514142312,25.8073883393386,29.6659144401564,1,8,0,3,1,0,104.06,0.230769230769231,6.40582726326743,4,0,1,0,0,1,0.142857142857143,2.20956393957924,2.85627113162865,0,4.16080493330087,11.1233097999357,0,4.22316474219039,0,0.833333333333333,40.09,2.04766266130183,0,16.00888753541,12,0,2,16,2,2.34,3,32.32,4
"65",0.464417993733316,-0.393720873952969,0.276714292719911,-0.138250138790931,0.0198458362615721,31.2873204497721,27.4715722936037,32.717649947536,1,8,0,3,0,0,109.07,0.230769230769231,7.05078125,2,0,0,1,0,1,0.125,2.07489969301078,2.58577025606882,0,3.97508125039071,10.6262363181611,0,4.22316474219039,0,1,49.32,2.04604160637001,2.9465600350545,16.0815524752272,6,5,3,17,2,2.23,4,33.122,5
